"id","lab","condition","lang_group","rt_congruent","rt_incongruent","acc_congruent","acc_incongruent","interference","effort","difficulty","tiredness","frustration"
"S1181","Muller_Zerhouni","control","NonEnglish",0.6204,0.9746,1,0.88,0.3541,2,2,4,1
"S1182","Muller_Zerhouni","control","NonEnglish",0.6265,1.1554,1,0.96,0.5289,4,3,6,2
"S1183","Muller_Zerhouni","control","NonEnglish",0.6274,1.0648,1,0.88,0.4374,4,1,1,1
"S1184","Muller_Zerhouni","control","NonEnglish",0.6299,1.0279,1,0.96,0.398,1,1,6,1
"S1185","Muller_Zerhouni","control","NonEnglish",0.6308,1.1496,1,0.85,0.5188,4,4,6,1
"S1186","Muller_Zerhouni","control","NonEnglish",0.6312,1.0215,1,0.92,0.3902,2,2,4,1
"S1187","Muller_Zerhouni","control","NonEnglish",0.6339,0.9963,1,0.89,0.3623,6,2,3,1
"S1188","Muller_Zerhouni","control","NonEnglish",0.6372,0.9808,1,0.91,0.3436,1,1,6,1
"S1189","Muller_Zerhouni","control","NonEnglish",0.645,1.0648,0.99,0.88,0.4198,1,1,2,5
"S1190","Muller_Zerhouni","depletion","NonEnglish",0.6451,0.9361,0.98,0.87,0.291,3,3,3,1
"S1191","Muller_Zerhouni","depletion","NonEnglish",0.649,1.012,0.99,0.95,0.363,6,6,6,4
"S1192","Muller_Zerhouni","control","NonEnglish",0.6605,1.0957,0.99,0.86,0.4352,3,3,2,1
"S1193","Muller_Zerhouni","control","NonEnglish",0.6609,1.0466,1,0.84,0.3857,2,1,1,1
"S1194","Muller_Zerhouni","control","NonEnglish",0.665,1.1862,1,0.83,0.5212,5,3,5,5
"S1195","Muller_Zerhouni","depletion","NonEnglish",0.6654,0.9389,1,1,0.2735,6,2,1,2
"S1196","Muller_Zerhouni","control","NonEnglish",0.6675,1.1187,0.99,0.89,0.4512,3,1,6,4
"S1197","Muller_Zerhouni","depletion","NonEnglish",0.6678,0.9843,0.99,0.94,0.3165,6,6,7,5
"S1198","Muller_Zerhouni","control","NonEnglish",0.6699,1.0209,0.99,0.8,0.351,2,2,2,3
"S1199","Muller_Zerhouni","depletion","NonEnglish",0.6832,1.1192,1,0.95,0.436,7,6,1,2
"S1200","Muller_Zerhouni","depletion","NonEnglish",0.6949,1.0242,1,0.92,0.3293,6,4,5,3
"S1201","Muller_Zerhouni","depletion","NonEnglish",0.7143,1.1027,0.99,0.93,0.3884,4,3,2,6
"S1202","Muller_Zerhouni","depletion","NonEnglish",0.7195,1.0264,1,0.9,0.3068,5,5,6,4
"S1203","Muller_Zerhouni","control","NonEnglish",0.7234,1.1366,1,0.96,0.4132,2,2,4,5
"S1204","Muller_Zerhouni","depletion","NonEnglish",0.7309,1.1057,1,0.83,0.3747,5,4,6,3
"S1205","Muller_Zerhouni","control","NonEnglish",0.7314,1.2266,1,0.93,0.4952,5,2,6,5
"S1206","Muller_Zerhouni","control","NonEnglish",0.7349,1.199,1,0.94,0.4641,2,2,3,1
"S1207","Muller_Zerhouni","depletion","NonEnglish",0.7388,0.9966,1,0.96,0.2577,4,4,4,2
"S1208","Muller_Zerhouni","control","NonEnglish",0.7469,1.076,1,0.93,0.3291,3,1,1,6
"S1209","Muller_Zerhouni","control","NonEnglish",0.7575,1.2431,1,0.88,0.4856,5,2,5,1
"S1210","Muller_Zerhouni","control","NonEnglish",0.7597,0.9517,0.99,0.86,0.1919,1,1,1,1
"S1211","Muller_Zerhouni","control","NonEnglish",0.7624,1.3391,1,0.88,0.5767,5,2,7,6
"S1212","Muller_Zerhouni","control","NonEnglish",0.7687,1.1392,0.99,0.86,0.3705,2,2,3,4
"S1213","Muller_Zerhouni","control","NonEnglish",0.7746,1.2259,1,0.95,0.4513,6,3,4,5
"S1214","Muller_Zerhouni","control","NonEnglish",0.7793,1.185,1,0.96,0.4057,3,2,5,3
"S1215","Muller_Zerhouni","depletion","NonEnglish",0.7802,1.1066,1,0.88,0.3264,7,7,6,3
"S1216","Muller_Zerhouni","control","NonEnglish",0.7847,1.0374,1,0.96,0.2527,2,1,1,3
"S1217","Muller_Zerhouni","control","NonEnglish",0.7896,1.1253,1,0.9,0.3357,2,1,2,5
"S1218","Muller_Zerhouni","control","NonEnglish",0.7925,1.2976,1,0.96,0.5051,2,1,3,2
"S1219","Muller_Zerhouni","depletion","NonEnglish",0.7961,1.0944,1,0.91,0.2983,5,6,4,3
"S1220","Muller_Zerhouni","depletion","NonEnglish",0.8016,1.3167,0.92,0.69,0.5151,5,5,5,4
"S1221","Muller_Zerhouni","depletion","NonEnglish",0.8037,1.1924,1,0.93,0.3887,6,5,5,3
"S1222","Muller_Zerhouni","control","NonEnglish",0.8042,1.2406,1,0.87,0.4364,2,1,2,3
"S1223","Muller_Zerhouni","control","NonEnglish",0.8197,1.2404,1,0.91,0.4207,4,1,5,6
"S1224","Muller_Zerhouni","control","NonEnglish",0.8922,1.271,1,0.91,0.3788,2,2,4,6
"S1225","Muller_Zerhouni","depletion","NonEnglish",0.9095,1.333,1,0.98,0.4235,6,6,5,6
"S1226","Muller_Zerhouni","control","NonEnglish",0.9699,1.2864,0.99,0.87,0.3165,2,1,6,1
"S1227","Muller_Zerhouni","control","NonEnglish",0.979,1.3985,1,0.99,0.4196,2,2,2,1
"S1228","Muller_Zerhouni","depletion","NonEnglish",0.983,1.3732,1,0.93,0.3902,5,4,2,1
"S1229","Muller_Zerhouni","depletion","NonEnglish",1.1069,1.1771,0.99,0.94,0.0702,6,6,4,2
"S1230","Otgaar","control","NonEnglish",0.4328,0.7869,1,0.9,0.3541,5,2,5,1
"S1231","Otgaar","control","NonEnglish",0.4373,0.7426,0.99,0.86,0.3053,2,2,3,3
"S1232","Otgaar","depletion","NonEnglish",0.4404,0.896,1,0.78,0.4557,5,4,6,3
"S1233","Otgaar","depletion","NonEnglish",0.4682,0.7587,1,0.84,0.2904,2,3,2,1
"S1234","Otgaar","control","NonEnglish",0.4688,0.8135,1,0.84,0.3447,6,1,4,1
"S1235","Otgaar","depletion","NonEnglish",0.4718,0.7079,1,0.9,0.2361,2,2,6,1
"S1236","Otgaar","control","NonEnglish",0.4722,0.7658,0.99,0.74,0.2936,6,5,2,2
"S1237","Otgaar","depletion","NonEnglish",0.48,0.7533,1,0.95,0.2733,5,6,1,6
"S1238","Otgaar","control","NonEnglish",0.4804,0.7568,1,0.98,0.2764,5,2,6,1
"S1239","Otgaar","control","NonEnglish",0.4829,0.6925,0.99,0.95,0.2096,5,2,4,1
"S1240","Otgaar","depletion","NonEnglish",0.483,0.7071,1,0.84,0.2241,3,2,6,2
"S1241","Otgaar","control","NonEnglish",0.4865,0.8135,1,0.93,0.327,2,1,5,1
"S1242","Otgaar","control","NonEnglish",0.4879,0.7031,1,0.9,0.2152,6,1,3,1
"S1243","Otgaar","control","NonEnglish",0.4944,0.763,1,0.92,0.2686,2,1,2,1
"S1244","Otgaar","depletion","NonEnglish",0.5038,0.8839,1,0.87,0.38,6,4,2,2
"S1245","Otgaar","depletion","NonEnglish",0.5052,0.7332,1,0.93,0.228,5,6,6,3
"S1246","Otgaar","depletion","NonEnglish",0.5055,0.8098,1,0.95,0.3043,7,4,5,1
"S1247","Otgaar","control","NonEnglish",0.5065,0.7328,1,0.89,0.2263,5,2,4,2
"S1248","Otgaar","depletion","NonEnglish",0.5136,0.7975,1,0.9,0.2838,5,5,3,4
"S1249","Otgaar","depletion","NonEnglish",0.5253,0.7701,1,0.97,0.2448,6,4,5,2
"S1250","Otgaar","control","NonEnglish",0.5262,0.8893,0.98,0.91,0.3631,6,3,5,2
"S1251","Otgaar","depletion","NonEnglish",0.5292,0.7557,1,0.94,0.2264,6,5,6,4
"S1252","Otgaar","depletion","NonEnglish",0.5366,0.8501,1,0.97,0.3134,6,5,2,5
"S1253","Otgaar","control","NonEnglish",0.5444,0.8605,1,0.98,0.3162,1,1,5,3
"S1254","Otgaar","depletion","NonEnglish",0.5499,0.8081,1,0.81,0.2582,5,2,1,3
"S1255","Otgaar","depletion","NonEnglish",0.5537,0.9324,0.93,0.7,0.3787,3,2,1,2
"S1256","Otgaar","depletion","NonEnglish",0.5581,0.8787,1,0.85,0.3206,4,5,2,5
"S1257","Otgaar","control","NonEnglish",0.5588,0.8889,1,0.84,0.3301,5,1,4,1
"S1258","Otgaar","depletion","NonEnglish",0.5638,0.885,1,0.93,0.3212,4,5,1,2
"S1259","Otgaar","control","NonEnglish",0.5678,0.8441,1,0.94,0.2764,6,1,6,1
"S1260","Otgaar","depletion","NonEnglish",0.5713,0.8698,1,0.93,0.2985,5,5,3,4
"S1261","Otgaar","control","NonEnglish",0.5744,0.7739,1,0.99,0.1995,2,1,3,2
"S1262","Otgaar","control","NonEnglish",0.5771,1.0477,1,0.97,0.4706,5,1,5,2
"S1263","Otgaar","depletion","NonEnglish",0.5835,0.9167,1,0.96,0.3331,6,4,3,2
"S1264","Otgaar","control","NonEnglish",0.5862,0.9797,1,0.9,0.3935,5,4,5,3
"S1265","Otgaar","control","NonEnglish",0.5867,1.0192,1,0.96,0.4325,5,2,5,2
"S1266","Otgaar","control","NonEnglish",0.6006,0.9468,1,0.89,0.3462,2,1,5,2
"S1267","Otgaar","control","NonEnglish",0.6034,0.7929,1,0.94,0.1895,4,2,1,1
"S1268","Otgaar","control","NonEnglish",0.6063,0.8346,0.99,0.97,0.2283,7,1,3,1
"S1269","Otgaar","depletion","NonEnglish",0.6148,0.8757,1,0.93,0.2609,5,3,1,1
"S1270","Otgaar","depletion","NonEnglish",0.6188,0.8829,1,0.87,0.264,5,5,3,6
"S1271","Otgaar","control","NonEnglish",0.6189,0.9647,1,0.89,0.3458,2,1,4,1
"S1272","Otgaar","control","NonEnglish",0.6215,0.9376,0.99,0.93,0.3161,5,4,1,1
"S1273","Otgaar","control","NonEnglish",0.6266,1.0021,0.98,0.87,0.3755,4,4,5,3
"S1274","Otgaar","control","NonEnglish",0.6285,0.9211,1,0.94,0.2926,5,2,6,1
"S1275","Otgaar","control","NonEnglish",0.6306,0.9066,1,0.96,0.276,3,2,5,2
"S1276","Otgaar","control","NonEnglish",0.6355,1.0038,1,0.94,0.3683,6,1,6,5
"S1277","Otgaar","depletion","NonEnglish",0.6444,0.7627,1,0.95,0.1183,3,2,2,2
"S1278","Otgaar","control","NonEnglish",0.6446,0.8547,1,0.97,0.21,6,2,5,6
"S1279","Otgaar","control","NonEnglish",0.6483,0.8867,1,0.98,0.2384,6,2,4,1
"S1280","Otgaar","control","NonEnglish",0.6501,1.0217,1,0.99,0.3716,7,2,4,1
"S1281","Otgaar","control","NonEnglish",0.6504,1.028,0.99,0.94,0.3776,7,3,6,4
"S1282","Otgaar","control","NonEnglish",0.6546,0.9215,1,0.99,0.2669,1,1,3,1
"S1283","Otgaar","control","NonEnglish",0.6697,1.0005,0.99,0.91,0.3308,1,1,1,1
"S1284","Otgaar","control","NonEnglish",0.6744,0.9567,0.95,0.66,0.2823,1,1,1,1
"S1285","Otgaar","control","NonEnglish",0.6762,1.1276,0.99,0.82,0.4514,5,1,3,3
"S1286","Otgaar","control","NonEnglish",0.6948,1.1877,0.99,0.99,0.493,2,1,4,2
"S1287","Otgaar","control","NonEnglish",0.7188,1.1387,0.97,0.82,0.4199,6,3,6,1
"S1288","Otgaar","depletion","NonEnglish",0.7224,0.9807,1,0.97,0.2583,2,4,2,2
"S1289","Otgaar","control","NonEnglish",0.725,0.9531,1,0.93,0.2281,3,2,5,1
"S1290","Otgaar","control","NonEnglish",0.7469,1.2043,1,0.92,0.4574,6,2,3,1
"S1291","Otgaar","control","NonEnglish",0.7624,1.0037,0.99,0.99,0.2413,1,1,1,1
"S1292","Otgaar","control","NonEnglish",0.7699,1.2194,0.99,1,0.4495,1,1,1,2
"S1293","Otgaar","control","NonEnglish",0.791,1.0526,1,0.91,0.2616,4,2,6,1
"S1294","Otgaar","control","NonEnglish",0.8298,1.046,1,0.99,0.2162,2,1,3,5
"S1295","Otgaar","depletion","NonEnglish",0.8302,1.0157,1,0.99,0.1855,6,5,3,4
"S1296","Otgaar","control","NonEnglish",0.84,1.1869,1,0.96,0.3469,5,2,5,2
"S1297","Otgaar","depletion","NonEnglish",0.8495,1.0605,0.99,0.98,0.211,5,3,4,4
"S1298","Otgaar","depletion","NonEnglish",0.9933,1.2249,1,0.98,0.2316,4,6,2,4
"S1299","Philipp_Cannon","depletion","English",0.4204,0.6907,0.99,0.87,0.2703,6,5,7,2
"S1300","Philipp_Cannon","control","English",0.4544,0.7041,1,0.79,0.2498,7,3,1,1
"S1301","Philipp_Cannon","depletion","English",0.458,0.7224,1,0.86,0.2644,5,4,2,6
"S1302","Philipp_Cannon","depletion","English",0.4731,0.7289,1,0.99,0.2558,5,3,3,2
"S1303","Philipp_Cannon","depletion","English",0.4767,0.6857,1,0.91,0.209,5,3,5,4
"S1304","Philipp_Cannon","control","English",0.4804,0.8649,1,0.93,0.3845,6,5,5,6
"S1305","Philipp_Cannon","control","English",0.4868,0.8704,1,0.88,0.3835,6,3,4,2
"S1306","Philipp_Cannon","depletion","English",0.4901,0.8208,1,0.97,0.3307,6,4,1,4
"S1307","Philipp_Cannon","control","English",0.4922,0.9235,0.99,0.86,0.4313,3,1,5,4
"S1308","Philipp_Cannon","depletion","English",0.4947,0.7107,0.98,0.87,0.2159,5,5,6,6
"S1309","Philipp_Cannon","control","English",0.5003,0.743,1,0.96,0.2427,4,2,4,1
"S1310","Philipp_Cannon","control","English",0.5049,0.9339,1,0.98,0.429,3,2,5,4
"S1311","Philipp_Cannon","control","English",0.5129,0.709,1,0.97,0.1961,2,1,3,1
"S1312","Philipp_Cannon","depletion","English",0.5144,0.8683,0.98,0.86,0.3538,6,3,5,3
"S1313","Philipp_Cannon","depletion","English",0.5147,0.6741,0.99,0.84,0.1594,6,4,2,3
"S1314","Philipp_Cannon","depletion","English",0.5314,0.8052,1,0.91,0.2738,5,5,2,4
"S1315","Philipp_Cannon","control","English",0.536,1.0107,1,0.96,0.4747,7,1,2,1
"S1316","Philipp_Cannon","depletion","English",0.5478,0.8743,1,0.97,0.3266,6,4,2,4
"S1317","Philipp_Cannon","depletion","English",0.5517,0.8511,1,0.97,0.2994,7,7,5,5
"S1318","Philipp_Cannon","control","English",0.5675,0.8685,1,0.93,0.301,4,2,6,2
"S1319","Philipp_Cannon","depletion","English",0.5704,0.7376,1,0.92,0.1671,6,5,3,5
"S1320","Philipp_Cannon","depletion","English",0.5732,0.886,1,0.95,0.3128,4,4,5,2
"S1321","Philipp_Cannon","control","English",0.5772,0.8669,1,0.96,0.2897,5,3,3,1
"S1322","Philipp_Cannon","control","English",0.5779,0.9477,1,0.83,0.3698,6,5,5,3
"S1323","Philipp_Cannon","control","English",0.5781,0.9973,1,0.95,0.4193,4,2,3,1
"S1324","Philipp_Cannon","depletion","English",0.5789,0.8657,1,0.93,0.2868,7,5,4,5
"S1325","Philipp_Cannon","control","English",0.58,0.8606,1,0.98,0.2806,2,1,2,1
"S1326","Philipp_Cannon","depletion","English",0.5811,0.7945,1,0.99,0.2134,5,3,5,4
"S1327","Philipp_Cannon","depletion","English",0.5876,0.9688,1,0.81,0.3811,5,5,4,3
"S1328","Philipp_Cannon","control","English",0.5898,0.8433,1,0.96,0.2534,2,1,1,3
"S1329","Philipp_Cannon","control","English",0.5944,0.935,1,0.97,0.3406,4,2,1,1
"S1330","Philipp_Cannon","control","English",0.5996,0.9953,1,0.88,0.3957,7,1,5,4
"S1331","Philipp_Cannon","control","English",0.6042,1.096,1,0.93,0.4918,4,2,6,6
"S1332","Philipp_Cannon","control","English",0.6081,0.9701,1,0.97,0.362,6,2,3,1
"S1333","Philipp_Cannon","control","English",0.6102,0.7883,1,0.92,0.1781,4,1,1,1
"S1334","Philipp_Cannon","depletion","English",0.6134,1.1129,1,0.93,0.4995,2,4,5,1
"S1335","Philipp_Cannon","control","English",0.6271,1.0828,0.99,0.95,0.4558,2,1,3,1
"S1336","Philipp_Cannon","control","English",0.6301,1.1061,0.97,0.83,0.4761,2,2,3,3
"S1337","Philipp_Cannon","control","English",0.6392,0.9616,1,0.98,0.3224,6,3,4,2
"S1338","Philipp_Cannon","depletion","English",0.6401,1.2652,1,0.96,0.625,6,6,3,4
"S1339","Philipp_Cannon","depletion","English",0.6421,0.8686,1,0.93,0.2265,5,5,6,3
"S1340","Philipp_Cannon","control","English",0.6438,0.8718,1,0.98,0.228,3,2,4,2
"S1341","Philipp_Cannon","depletion","English",0.6486,0.9383,1,0.88,0.2897,5,3,4,6
"S1342","Philipp_Cannon","depletion","English",0.6518,1.0491,1,0.99,0.3973,7,5,7,5
"S1343","Philipp_Cannon","depletion","English",0.6529,1.0481,1,0.97,0.3952,7,5,5,5
"S1344","Philipp_Cannon","depletion","English",0.6586,0.9892,1,0.79,0.3305,5,5,4,3
"S1345","Philipp_Cannon","control","English",0.6624,1.0459,1,0.98,0.3835,5,2,6,2
"S1346","Philipp_Cannon","depletion","English",0.6642,1.0302,1,0.96,0.366,6,4,1,4
"S1347","Philipp_Cannon","control","English",0.677,0.8534,1,0.92,0.1764,6,2,3,1
"S1348","Philipp_Cannon","depletion","English",0.6821,1.0107,1,0.95,0.3286,5,5,6,4
"S1349","Philipp_Cannon","depletion","English",0.6832,1.176,0.98,0.94,0.4928,4,5,2,3
"S1350","Philipp_Cannon","depletion","English",0.6849,0.992,1,0.99,0.3071,6,3,3,2
"S1351","Philipp_Cannon","control","English",0.7152,1.0499,1,0.98,0.3347,6,4,2,2
"S1352","Philipp_Cannon","depletion","English",0.7239,1.1274,1,0.92,0.4035,7,6,2,2
"S1353","Philipp_Cannon","depletion","English",0.726,0.9993,1,1,0.2733,6,3,2,5
"S1354","Philipp_Cannon","control","English",0.7278,0.9739,1,0.92,0.2461,2,2,3,1
"S1355","Philipp_Cannon","depletion","English",0.7379,1.0023,1,1,0.2644,7,2,4,2
"S1356","Philipp_Cannon","depletion","English",0.7406,0.9751,1,1,0.2345,5,4,3,1
"S1357","Philipp_Cannon","control","English",0.7618,1.1945,0.98,0.88,0.4327,6,3,2,5
"S1358","Philipp_Cannon","depletion","English",0.769,1.0537,1,0.97,0.2847,7,2,1,1
"S1359","Philipp_Cannon","control","English",0.7728,1.05,1,1,0.2773,5,4,6,2
"S1360","Philipp_Cannon","depletion","English",0.7846,1.1281,1,0.97,0.3435,5,2,1,1
"S1361","Philipp_Cannon","control","English",0.7887,1.0253,1,0.98,0.2366,2,2,2,1
"S1362","Philipp_Cannon","control","English",0.7892,1.0382,1,0.98,0.2489,4,2,1,1
"S1363","Philipp_Cannon","depletion","English",0.798,1.2506,1,0.99,0.4526,6,3,6,6
"S1364","Philipp_Cannon","control","English",0.7989,1.0731,1,0.99,0.2742,7,3,5,7
"S1365","Philipp_Cannon","depletion","English",0.8142,1.1006,0.99,0.94,0.2864,6,2,3,1
"S1366","Philipp_Cannon","depletion","English",0.8188,1.1254,1,0.97,0.3065,6,3,4,4
"S1367","Philipp_Cannon","control","English",0.8243,1.0818,1,0.97,0.2575,4,1,3,1
"S1368","Philipp_Cannon","control","English",0.8446,1.1767,1,0.92,0.3321,3,2,1,1
"S1369","Philipp_Cannon","depletion","English",0.8485,1.0642,1,0.85,0.2157,4,4,2,2
"S1370","Philipp_Cannon","depletion","English",0.8915,1.1317,1,0.98,0.2402,4,1,2,1
"S1371","Philipp_Cannon","control","English",0.9068,1.2122,1,0.99,0.3054,3,2,1,1
"S1372","Philipp_Cannon","control","English",0.9407,1.1224,0.99,0.98,0.1817,6,4,6,4
"S1373","Philipp_Cannon","control","English",0.9911,1.1664,0.99,1,0.1753,1,1,1,1
"S1374","Rentzsch","depletion","NonEnglish",0.415,0.6586,1,0.74,0.2436,6,2,5,1
"S1375","Rentzsch","depletion","NonEnglish",0.4275,0.8499,1,0.75,0.4224,5,5,5,3
"S1376","Rentzsch","control","NonEnglish",0.4278,0.7364,1,0.83,0.3086,1,2,2,1
"S1377","Rentzsch","control","NonEnglish",0.4298,0.8204,1,0.84,0.3906,4,3,5,1
"S1378","Rentzsch","control","NonEnglish",0.4359,0.8563,1,0.87,0.4203,5,3,3,3
"S1379","Rentzsch","control","NonEnglish",0.4373,0.6469,1,0.87,0.2097,2,1,2,1
"S1380","Rentzsch","control","NonEnglish",0.4429,0.7839,1,0.91,0.341,2,1,1,2
"S1381","Rentzsch","control","NonEnglish",0.4523,0.7146,1,0.97,0.2622,1,1,1,2
"S1382","Rentzsch","depletion","NonEnglish",0.4524,0.819,1,0.91,0.3665,6,5,4,1
"S1383","Rentzsch","control","NonEnglish",0.462,0.791,0.99,0.73,0.3289,2,1,2,2
"S1384","Rentzsch","depletion","NonEnglish",0.4662,0.7221,1,0.95,0.256,5,5,3,7
"S1385","Rentzsch","control","NonEnglish",0.4668,0.7501,1,0.91,0.2833,2,1,3,1
"S1386","Rentzsch","depletion","NonEnglish",0.4708,0.7652,1,0.79,0.2944,6,5,2,4
"S1387","Rentzsch","control","NonEnglish",0.4718,0.7821,1,0.76,0.3104,1,1,4,1
"S1388","Rentzsch","depletion","NonEnglish",0.4726,0.8512,1,0.91,0.3786,5,4,4,3
"S1389","Rentzsch","depletion","NonEnglish",0.4765,0.7209,1,0.97,0.2445,4,5,5,5
"S1390","Rentzsch","control","NonEnglish",0.4776,0.8186,0.98,0.82,0.341,2,2,2,1
"S1391","Rentzsch","control","NonEnglish",0.4806,0.7759,1,0.95,0.2953,2,2,2,1
"S1392","Rentzsch","depletion","NonEnglish",0.4835,0.8593,0.99,0.84,0.3758,5,4,6,6
"S1393","Rentzsch","control","NonEnglish",0.4856,0.8882,1,0.86,0.4025,2,3,2,1
"S1394","Rentzsch","control","NonEnglish",0.4894,0.7228,1,0.98,0.2334,2,2,2,1
"S1395","Rentzsch","depletion","NonEnglish",0.4945,0.724,0.98,0.88,0.2295,5,5,4,3
"S1396","Rentzsch","control","NonEnglish",0.496,0.7843,1,0.97,0.2883,2,2,4,4
"S1397","Rentzsch","depletion","NonEnglish",0.4974,0.7793,1,0.97,0.2819,5,3,4,5
"S1398","Rentzsch","depletion","NonEnglish",0.4997,0.7855,1,0.83,0.2858,2,3,2,2
"S1399","Rentzsch","control","NonEnglish",0.5009,0.9482,1,0.84,0.4474,1,1,1,1
"S1400","Rentzsch","depletion","NonEnglish",0.5035,0.8114,1,0.93,0.3079,2,3,4,3
"S1401","Rentzsch","control","NonEnglish",0.5043,0.8391,1,0.93,0.3348,2,2,3,2
"S1402","Rentzsch","depletion","NonEnglish",0.5193,0.7995,1,0.86,0.2803,4,4,2,3
"S1403","Rentzsch","depletion","NonEnglish",0.5212,0.827,0.99,0.96,0.3058,4,2,2,2
"S1404","Rentzsch","depletion","NonEnglish",0.5258,0.8548,1,0.73,0.329,4,4,5,6
"S1405","Rentzsch","depletion","NonEnglish",0.5294,0.7725,1,0.93,0.2431,3,4,4,4
"S1406","Rentzsch","control","NonEnglish",0.5299,0.9065,1,0.9,0.3766,3,2,4,2
"S1407","Rentzsch","depletion","NonEnglish",0.5307,0.8863,1,0.98,0.3556,5,5,5,2
"S1408","Rentzsch","control","NonEnglish",0.536,0.8879,1,0.95,0.352,2,1,4,1
"S1409","Rentzsch","depletion","NonEnglish",0.5361,0.8768,1,0.91,0.3407,5,5,4,4
"S1410","Rentzsch","control","NonEnglish",0.5404,0.81,1,0.97,0.2696,2,1,4,1
"S1411","Rentzsch","control","NonEnglish",0.5411,0.8595,1,0.92,0.3184,3,2,6,2
"S1412","Rentzsch","depletion","NonEnglish",0.5419,0.9034,1,0.91,0.3615,5,3,2,5
"S1413","Rentzsch","depletion","NonEnglish",0.5429,0.9285,1,0.89,0.3856,5,5,6,5
"S1414","Rentzsch","control","NonEnglish",0.544,0.7158,1,0.98,0.1719,2,1,2,2
"S1415","Rentzsch","depletion","NonEnglish",0.5443,0.998,0.99,0.94,0.4537,5,4,3,1
"S1416","Rentzsch","depletion","NonEnglish",0.5445,0.7696,1,0.94,0.2251,5,4,1,4
"S1417","Rentzsch","depletion","NonEnglish",0.5454,0.883,1,0.98,0.3377,6,5,4,5
"S1418","Rentzsch","control","NonEnglish",0.5466,0.9521,1,0.86,0.4055,2,2,2,1
"S1419","Rentzsch","control","NonEnglish",0.5479,0.8193,1,0.96,0.2714,1,1,1,1
"S1420","Rentzsch","depletion","NonEnglish",0.5492,0.8425,1,0.99,0.2933,3,4,5,2
"S1421","Rentzsch","control","NonEnglish",0.5518,0.7846,1,0.97,0.2327,5,2,5,3
"S1422","Rentzsch","control","NonEnglish",0.5529,0.9387,1,0.9,0.3858,2,2,1,3
"S1423","Rentzsch","control","NonEnglish",0.5536,0.8775,1,0.94,0.3238,2,1,1,2
"S1424","Rentzsch","depletion","NonEnglish",0.5539,1.0124,1,0.87,0.4586,4,5,3,4
"S1425","Rentzsch","control","NonEnglish",0.5585,0.8091,1,0.97,0.2506,1,1,4,1
"S1426","Rentzsch","control","NonEnglish",0.5586,0.8679,1,0.91,0.3093,3,1,3,2
"S1427","Rentzsch","depletion","NonEnglish",0.5602,0.7416,1,0.98,0.1814,3,4,5,2
"S1428","Rentzsch","control","NonEnglish",0.5616,0.8701,1,0.96,0.3085,4,1,6,2
"S1429","Rentzsch","depletion","NonEnglish",0.5629,0.8593,1,0.95,0.2964,5,5,2,4
"S1430","Rentzsch","control","NonEnglish",0.564,0.8361,0.99,0.76,0.2721,2,2,3,4
"S1431","Rentzsch","depletion","NonEnglish",0.5642,0.8816,1,0.9,0.3173,5,5,4,3
"S1432","Rentzsch","control","NonEnglish",0.5658,0.9064,1,0.98,0.3407,3,1,2,1
"S1433","Rentzsch","control","NonEnglish",0.5695,0.9451,0.99,0.94,0.3756,2,2,6,1
"S1434","Rentzsch","depletion","NonEnglish",0.572,0.9124,1,0.95,0.3404,5,3,1,1
"S1435","Rentzsch","control","NonEnglish",0.5745,0.9364,0.99,0.75,0.3618,3,2,2,4
"S1436","Rentzsch","control","NonEnglish",0.5787,0.872,1,0.92,0.2933,3,2,5,1
"S1437","Rentzsch","control","NonEnglish",0.5791,0.8661,0.99,0.9,0.287,2,1,1,2
"S1438","Rentzsch","depletion","NonEnglish",0.5794,0.9888,1,0.87,0.4094,5,5,2,5
"S1439","Rentzsch","depletion","NonEnglish",0.5804,0.9077,1,0.92,0.3273,2,3,2,2
"S1440","Rentzsch","control","NonEnglish",0.5804,0.8371,1,0.96,0.2567,2,2,3,3
"S1441","Rentzsch","depletion","NonEnglish",0.5812,0.8747,1,0.92,0.2936,3,3,3,3
"S1442","Rentzsch","depletion","NonEnglish",0.588,0.8227,1,0.94,0.2348,4,3,4,4
"S1443","Rentzsch","depletion","NonEnglish",0.5892,0.9947,1,0.93,0.4055,6,5,5,4
"S1444","Rentzsch","control","NonEnglish",0.5905,0.779,1,0.99,0.1885,2,1,2,1
"S1445","Rentzsch","depletion","NonEnglish",0.5974,0.8887,1,0.97,0.2913,5,3,6,6
"S1446","Rentzsch","depletion","NonEnglish",0.5974,0.9634,1,0.99,0.3659,6,4,3,2
"S1447","Rentzsch","control","NonEnglish",0.5998,0.9242,0.99,0.92,0.3244,3,2,3,1
"S1448","Rentzsch","control","NonEnglish",0.6004,0.8779,1,0.93,0.2774,2,1,2,2
"S1449","Rentzsch","depletion","NonEnglish",0.6095,0.9644,1,1,0.3549,4,5,4,2
"S1450","Rentzsch","depletion","NonEnglish",0.6113,0.8667,1,0.88,0.2554,5,5,6,4
"S1451","Rentzsch","depletion","NonEnglish",0.6162,0.8181,1,0.99,0.2019,3,2,5,6
"S1452","Rentzsch","control","NonEnglish",0.6208,0.8496,1,0.99,0.2287,4,2,5,3
"S1453","Rentzsch","depletion","NonEnglish",0.6226,0.9139,1,0.9,0.2912,5,6,3,4
"S1454","Rentzsch","control","NonEnglish",0.6274,0.9412,0.99,0.97,0.3138,2,2,2,1
